Loc_ID,State
BAL,Maryland
CWS,Illinois
ANA,California
BOS,Massachusetts
CLE,Ohio
OAK,California
NYY,New York
DET,Michigan
SEA,Washington
TB,Florida
KC,Missouri
TEX,Texas
TOR,
MIN,Minnesota
ATL,Georgia
CHC,Illinois
ARZ,Arizona
FLA,Florida
CIN,Ohio
COL,Colorado
NYM,New York
HOU,Texas
LA,California
PHI,Pennsylvania
MLW,Wisconsin
SD,California
WAS,
PIT,Pennsylvania
SF,California
STL,Missouri
